NO, NAME, ADDRESS
1,허그댕댕,서울특별시 종로구 창신동
2,한국반려동물아카데미뷰티샵,서울특별시 종로구 숭인동
3,레인독,서울특별시 종로구 명륜2가
4,미션코리아,서울특별시 종로구 효제동
5,Dog star,서울특별시 종로구 숭인동
6,누리봄동물병원,서울특별시 종로구 내자동
7,광화문동물병원,서울특별시 종로구 효자동
8,대학로동물병원,서울특별시 종로구 명륜2가
9,홍주스컵,서울특별시 종로구 동숭동
10,경희궁바른동물병원,서울특별시 종로구 홍파동
11,아지나라,서울특별시 종로구 창신동
12,월드펫동물병원,서울특별시 종로구 신영동
13,이쁜아이,서울특별시 종로구 창신동
14,북악동물병원,서울특별시 종로구 홍지동
15,서촌도그살롱,서울특별시 종로구 필운동
16,나나애견미용,서울특별시 종로구 숭인동
17,스타독,서울특별시 중구 충무로4가
18,웰펫동물병원,서울특별시 중구 신당동
19,메종동물병원,서울특별시 중구 신당동
20,강아지 마법사 골드맘,서울특별시 중구 신당동
21,애니컴 메디컬센터,서울특별시 중구 신당동
22,애뚜애뚜,서울특별시 중구 신당동
23,미래지동물의료센터,서울특별시 중구 신당동
24,좋아요동물병원,서울특별시 중구 신당동
25,백슬동물병원,서울특별시 중구 만리동2가
26,남산동물병원,서울특별시 중구 신당동
27,바른동물병원,서울특별시 중구 황학동
28,COZY,서울특별시 중구 신당동
29,바우미우동물병원,서울특별시 중구 신당동
30,(주)이마트청계천점,서울특별시 중구 황학동
31,대한동물병원,서울특별시 중구 충무로4가
32,올리스용산점,서울특별시 용산구 이태원동
33,몽스빌리지,서울특별시 용산구 도원동
34,베럴라이프(BetterLife),서울특별시 용산구 이태원동
35,엠펫,서울특별시 용산구 후암동
36,아츠,서울특별시 용산구 이태원동
37,트리밍807,서울특별시 용산구 한남동
38,(주)플래닛오브독스,서울특별시 용산구 한남동
39,꼬리살랑,서울특별시 용산구 원효로3가
40,도기캠프,서울특별시 용산구 효창동
41,원스동물병원,서울특별시 용산구 청파동2가
42,펫그라운드_해방촌,서울특별시 용산구 용산동2가
43,소월집,서울특별시 용산구 이태원동
44,프랑소와펫,서울특별시 용산구 이촌동
45,청화동물병원,서울특별시 용산구 이태원동
46,효창동물병원,서울특별시 용산구 효창동
47,아프리카동물병원,서울특별시 용산구 후암동
48,바다동물병원,서울특별시 용산구 용산동5가
49,워너비동물병원 용산점,서울특별시 용산구 한강로3가
50,우쭈쭈,서울특별시 용산구 이태원동
51,멍멍？,서울특별시 용산구 보광동
52,달래동물의료센터,서울특별시 용산구 한남동
53,차오름동물병원,서울특별시 용산구 산천동
54,원효동물병원,서울특별시 용산구 원효로2가
55,메이펫케어,서울특별시 용산구 한남동
56,남산동물병원,서울특별시 용산구 후암동
57,민트동물병원,서울특별시 용산구 산천동
58,라온동물병원,서울특별시 용산구 이태원동
59,21세기동물병원,서울특별시 용산구 보광동
60,좋아서하는동물병원,서울특별시 용산구 원효로1가
61,엉클장동물병원,서울특별시 용산구 원효로1가
62,금강동물병원,서울특별시 용산구 이촌동
63,펫토이동믈병원,서울특별시 용산구 한남동
64,24시 시유동물메디컬센터,서울특별시 용산구 이촌동
65,베이동물병원,서울특별시 용산구 이촌동
66,(주)이상윤동물병원,서울특별시 용산구 이촌동
67,이태원동물병원,서울특별시 용산구 이태원동
68,펫동물병원,서울특별시 용산구 효창동
69,오렌지애견,서울특별시 용산구 한강로3가
70,보광동물병원,서울특별시 용산구 보광동
71,포지티브(Pawsitive),서울특별시 용산구 이태원동
72,더힐동물의료센터,서울특별시 용산구 한남동
73,목욕하는 고양이,서울특별시 용산구 보광동
74,다줄,서울특별시 용산구 한강로3가
75,서울숲 개구쟁이,서울특별시 성동구 금호동4가
76,펫살롱,서울특별시 성동구 상왕십리동
77,애니네 반려견 미용실,서울특별시 성동구 금호동1가
78,서울숲 dogs,서울특별시 성동구 성수동1가
79,오늘동물병원,서울특별시 성동구 성수동1가
80,나인페츠,서울특별시 성동구 성수동1가
81,개깎쟁이,서울특별시 성동구 행당동
82,커츄츄,서울특별시 성동구 금호동4가
83,베이지동물병원,서울특별시 성동구 하왕십리동
84,주식회사 미래엔에듀케어 바우라움 서울숲 캠퍼스,서울특별시 성동구 행당동
85,고양아  안녕?,서울특별시 성동구 마장동
86,멍멍살롱,서울특별시 성동구 마장동
87,선녀와 강아지,서울특별시 성동구 홍익동
88,바스멍,서울특별시 성동구 금호동1가
89,댕댕이 하우스,서울특별시 성동구 성수동1가
90,안녕강아지,서울특별시 성동구 금호동4가
91,도그마 펫살롱,서울특별시 성동구 금호동2가
92,베이글 버트 그루밍,서울특별시 성동구 성수동1가
93,24시LC동물의료센터,서울특별시 성동구 용답동
94,미주 애견,서울특별시 성동구 행당동
95,24시센트럴동물메디컬센터,서울특별시 성동구 행당동
96,오렌지 동물병원,서울특별시 성동구 행당동
97,한빛동물병원,서울특별시 성동구 금호동2가
98,모동모동,서울특별시 성동구 성수동1가
99,이윤세 동물병원,서울특별시 성동구 행당동
100,Show Dog,서울특별시 성동구 행당동
101,스테이 동물병원,서울특별시 성동구 옥수동
102,왕십리조은동물병원,서울특별시 성동구 하왕십리동
103,평화와생명 동물병원,서울특별시 성동구 행당동
104,아지동물병원,서울특별시 성동구 금호동4가
105,옥수수동물병원,서울특별시 성동구 옥수동
106,꿈꾸는강아지,서울특별시 성동구 성수동1가
107,서울숲 동물병원,서울특별시 성동구 성수동2가
108,버블퍼피,서울특별시 성동구 하왕십리동
109,라임동물병원,서울특별시 성동구 홍익동
110,금호동물병원,서울특별시 성동구 금호동2가
111,바둑이 애견미용,서울특별시 성동구 금호동4가
112,제인동물병원,서울특별시 성동구 성수동2가
113,바라봄동물병원,서울특별시 성동구 하왕십리동
114,다온동물병원,서울특별시 성동구 하왕십리동
115,함께하는 동물병원,서울특별시 성동구 옥수동
116,코코애견,서울특별시 성동구 용답동
117,강아지song,서울특별시 성동구 송정동
118,앙꼬네 미용실,서울특별시 성동구 행당동
119,마이뷰티독,서울특별시 성동구 상왕십리동
120,포레 동물병원,서울특별시 성동구 성수동1가
121,웨그앤코(WAG&co),서울특별시 성동구 성수동2가
122,한양동물메디컬센터,서울특별시 성동구 행당동
123,펫365동물병원,서울특별시 성동구 금호동4가
124,달링동물병원,서울특별시 성동구 성수동1가
125,텐즈힐 애견미용,서울특별시 성동구 상왕십리동
126,(주)이마트 성수점 몰리스,서울특별시 성동구 성수동2가
127,꿀강아지 테리하우스,서울특별시 광진구 중곡동
128,순수,서울특별시 광진구 중곡동
129,아낌,서울특별시 광진구 구의동
130,김고은그루밍#,서울특별시 광진구 중곡동
131,Onene(오네네),서울특별시 광진구 중곡동
132,김언니 펫살롱,서울특별시 광진구 자양동
133,디어독,서울특별시 광진구 자양동
134,Canine Bath House,서울특별시 광진구 자양동
135,글로벌,서울특별시 광진구 중곡동
136,올리스 애견셀프목욕 & 펫살롱,서울특별시 광진구 구의동
137,컴투펫,서울특별시 광진구 자양동
