NO, NAME, ADDRESS
2, (주)가나이십사시동물병원, 경기도 안산시 단원구 고잔동
3, (주)누리종합동물병원, 강원도 원주시 단구동
4, (주)다솜동물메디컬센터, 부산광역시 남구 문현동
5, (주)대경동물병원, 경상북도 구미시 선산읍 화조리
6, (주)돼지와건강, 충청남도 홍성군 홍성읍 옥암리
7, (주)에니멀클리닉컨설팅(출장진료전문병원), 경기도 용인시 기흥구 신갈동
8, (주)옵티팜, 충청북도 청원군 오송읍 만수리
9, (주)옵티팜, 충청북도 청주시 흥덕구 오송읍 만수리
10, (주)이상윤동물병원, 서울특별시 용산구 이촌동
11, (주)정선가축병원, 강원도 정선군 정선읍 봉양리
12, (주)죽전동물메디컬센터, 대구광역시 달서구 용산동
13, (주)초록동물병원, 대구광역시 달서구 진천동
14, (주)펫동물병원, 경기도 용인시 처인구 삼가동
15, (주)하림애니멀클리닉, 전라북도 익산시 마동
16, (주)한빛종합동물병원, 서울특별시 노원구 상계동
17, 119동물병원, 대구광역시 달성군 다사읍 매곡리
18, 21세기 종합동물병원, 전라북도 전주시 덕진구 송천동1가
19, 21세기동물병원, 서울특별시 용산구 보광동
20, 21세기동물병원, 전라남도 목포시 상동
21, 21세기동물병원, 경기도 화성시 반송동
22, 21세기종합동물병원, 부산광역시 북구 덕천동
23, 21세기종합동물병원, 대구광역시 동구 효목동
24, 24시 SNC 동물메디컬센터, 서울특별시 강남구 역삼동
25, 24시 강서 젠틀리동물의료센터, 서울특별시 강서구 마곡동
26, 24시 건국 본 동물병원, 인천광역시 미추홀구 주안동
27, 24시 굿케어동물의료센터, 서울특별시 관악구 봉천동
28, 24시 글로리 동물병원, 서울특별시 금천구 독산동
29, 24시 나음동물의료센터, 경기도 고양시 일산동구 장항동
30, 24시 당신의 동물의료센터, 경기도 수원시 장안구 천천동
31, 24시 대전동물의료센터, 대전광역시 유성구 봉명동
32, 24시 더나은 동물메디컬 센터, 경상남도 거제시 고현동
33, 24시 더블유 동물의료센터, 인천광역시 서구 청라동
34, 24시 더케어 동물의료센터, 경기도 구리시 수택동
35, 24시 동물응급의료센터, 서울특별시 중랑구 중화동
36, 24시 라움동물의료센터, 경기도 평택시 비전동
37, 24시 라인동물의료센터, 경기도 고양시 덕양구 삼송동
38, 24시 리본동물영상센터, 부산광역시 동래구 명륜동
39, 24시 리본동물의료센터, 부산광역시 동래구 명륜동
40, 24시 명동물메디컬센터, 서울특별시 구로구 개봉동
41, 24시 모두의동물병원, 경기도 광명시 하안동
42, 24시 모란동물 메디컬센터, 경기도 광주시 쌍령동
43, 24시 블레스동물메디컬센터, 경기도 용인시 기흥구 중동
44, 24시 블루밍 동물병원, 광주광역시 북구 운암동
